aforementioned, DELETE
a considerable amount of, DELETE OR be specific
a disproportionate number,few
a large majority of,most
a lot of," many, much"
a majority of," most, much of, many"
added bonus, bonus
advance notice,notice
advance planning, planning
advance warning, warning
after all is said and done, DELETE
all of a sudden, suddenly
all of these, these
along the lines of, like
amongst, among
apparently,Delete
appear to be,appear
are able to, can OR DELETE
are found to be in agreement with,agree
arrive at a decision,decide
as a matter of fact, in fact OR DELETE
as a means to, to
as a whole, DELETE
as being a, as OR DELETE
as it truly is, DELETE
as of the moment, DELETE
as regards,about
as the case may be, DELETE
as to whether,whether
at all times, always OR DELETE
at first glance, DELETE
at the present time," currently, now"
at the same time as,while
at the same time that, while
at this point in time, now OR DELETE
basic fundamentals, basics OR fundamentals
basic necessity, necessity
basically,Delete
because of the fact of, because of
being, DELETE
both of the, both
both of them, both
both of these, both
brings to mind, recalls/suggests
by and large, DELETE
by definition, DELETE
by leaps and bounds, DELETE
by means of, by
by the use of, using
by virtue of [the fact that], by
came to a realization, realized/recognized
came to an abrupt end, end[ed] abruptly
can be seen as, is OR DELETE
cannot be avoided,"must, should"
clearly articulate, articulate
close scrutiny, scrutiny
common similarities, similarities
compare and contrast, compare
complete stranger, stranger
completely eliminate, eliminate
completely finished,finished
concerning the matter of, about/regarding
considering the fact that,"because, since, why"
core essence, DELETE
correctional facility, jail
dash quickly,dash
despite the fact that,"although, even, though"
did not succeed, failed
due to the effects, because
due to the fact that, because
during the course of, during
each and every one," each, every"
each individual, DELETE OR everyone
each of, each
each separate incident,each incident
early on in the, early in the
economically deprived, poor
enter into, enter OR DELETE
erode away, erode
essentially,Delete
every single one," each one, all, each"
final demise, DELETE FINAL
final destination, DELETE FINAL
final outcome, DELETE FINAL
find out,discover
first and foremost, first
following on,"before, after, as"
for a further period of,for another ten years
for all intents and purposes, DELETE  or actually
for that which is, for the
for the purpose of," to, for"
for the reason that,"because, since, why"
foreseeable future, [when exactly?]
free gift, gift
future plans, plans
future prospects, prospects
gather together, gather
general consensus, consensus
general public, public
generally,Delete
grave crisis, crisis
had a tendency to, often OR DELETE
had an effect upon,influenced
had been found to be, is/was/are
had the ability to, can/could
had the capacity for, can/could
had the effect of, DELETE
had the opportunity to, can/could
hand-in-hand, together
has been found to be, is/was/are
has capacity for, can/could
has tendency to, often OR DELETE
has the ability to, can/could
has the capacity for,can
has the effect of, DELETE
has the opportunity to, can/could
have a tendency to, often OR DELETE
have been found to be, is/was/are
have the ability to, can/could
have the capacity for, can/could
have the effect of, DELETE
have the opportunity to, can/could
horrible tragedy, tragedy
I believe,Delete
I feel,Delete
I myself, I
I think that,Delete
if it should transpire/happen that,if
in a situation in which, in /when
in a very real sense, DELETE
in actuality, DELETE
in all likelihood, likely/probably
in all probability, likely/probably
in anticipation of,"before, after, as"
in close proximity, near
in colour,blue
in connection with, about
in essence, DELETE
in light of the fact that, because
in my opinion,Delete
in nature, DELETE
in order to, to
in reality, DELETE
in reference to, about/regarding
in some ways,Delete
in spite of, despite
in spite of the fact that, although
in terms of, DELETE
in the area of, in
